Category,Price_in_AUD,Rank,,,,,,,,,
Cocaine,6482.70,A,,,,,,,,,
Cocaine,6420.56,A,,,,,,,,,
Cocaine,6318.58,C,,,,,,,,,
Cocaine,6156.36,A,,,,,,,,,
Cannabis,5925.81,B,,,,,,,,,
Cannabis,5852.93,A,,,,,,,,,
Cannabis,5743.47,A,,,,,,,,,
Cannabis,5707.28,A,,,,,,,,,
Cannabis,5693.31,D,,,,,,,,,
Cannabis,5613.30,B,,,,,,,,,
Cannabis,5555.83,A,,,,,,,,,
Cannabis,5423.64,B,,,,,,,,,
Cannabis,5382.25,A,,,,,,,,,
Cannabis,5380.40,A,,,,,,,,,
Cannabis,5375.91,D,,,,,,,,,
Cannabis,5367.15,D,,,,,,,,,
Cannabis,5241.07,B,,,,,,,,,
Cannabis,5160.21,D,,,,,,,,,
Cannabis,5124.53,D,,,,,,,,,
Cannabis,5098.37,C,,,,,,,,,
Cannabis,5063.49,A,,,,,,,,,
Cannabis,5021.85,D,,,,,,,,,
Cannabis,4937.87,E,,,,,,,,,
Cannabis,4869.79,C,,,,,,,,,
Cannabis,4648.79,D,,,,,,,,,
Cannabis,4635.77,B,,,,,,,,,
Cannabis,4546.48,B,,,,,,,,,
Prescription,4479.93,D,,,,,,,,,
Cannabis,4290.27,A,,,,,,,,,
Cannabis,4209.19,C,,,,,,,,,
Cannabis,4155.19,A,,,,,,,,,
Cannabis,4042.58,B,,,,,,,,,
Cannabis,3974.96,C,,,,,,,,,
Cannabis,3946.71,E,,,,,,,,,
Cannabis,3828.60,A,,,,,,,,,
Cannabis,3765.36,A,,,,,,,,,
Cannabis,3718.75,B,,,,,,,,,
Cannabis,3712.23,A,,,,,,,,,
Cannabis,3672.03,B,,,,,,,,,
Cannabis,3629.78,A,,,,,,,,,
Cannabis,3574.71,B,,,,,,,,,
Cannabis,3464.73,A,,,,,,,,,
Cannabis,3093.70,A,,,,,,,,,
Cannabis,2929.57,F,,,,,,,,,
Cannabis,2862.29,A,,,,,,,,,
Cannabis,2835.01,F,,,,,,,,,
Cannabis,2468.06,A,,,,,,,,,
