 Category, Price_in_AUD,Rank,,,,,,,,,
Ecstasy,4209.19,F,,,,,,,,,
Ecstasy,15132.64,B,,,,,,,,,
Ecstasy,24661.03,C,,,,,,,,,
Ecstasy,13101.56,B,,,,,,,,,
Ecstasy,19350.96,B,,,,,,,,,
Ecstasy,37433.02,D,,,,,,,,,
Ecstasy,79042.35,A,,,,,,,,,
Ecstasy,44385.51,C,,,,,,,,,
Ecstasy,18309.63,A,,,,,,,,,
Ecstasy,18662.62,B,,,,,,,,,
Ecstasy,5861696.8,B,,,,,,,,,
Ecstasy,12806.61,B,,,,,,,,,
Ecstasy,32689.17,A,,,,,,,,,
Ecstasy,41905,A,,,,,,,,,
Ecstasy,6894211.36,C,,,,,,,,,
Ecstasy,61290.01,A,,,,,,,,,
Ecstasy,36595.9,A,,,,,,,,,
Ecstasy,78290.14,C,,,,,,,,,
Ecstasy,19424.32,A,,,,,,,,,
Ecstasy,498574.46,A,,,,,,,,,
Ecstasy,35800.04,A,,,,,,,,,
Ecstasy,21341.86,E,,,,,,,,,
Ecstasy,24331.46,B,,,,,,,,,
Ecstasy,69189.72,C,,,,,,,,,
Ecstasy,206195.92,F,,,,,,,,,
Ecstasy,36134.72,D,,,,,,,,,
Ecstasy,84287.85,D,,,,,,,,,
Ecstasy,49461.98,A,,,,,,,,,
Ecstasy,14186.91,A,,,,,,,,,
Ecstasy,19273.16,A,,,,,,,,,
Ecstasy,1245.24,D,,,,,,,,,
Ecstasy,43239.34,C,,,,,,,,,
Ecstasy,43195.33,B,,,,,,,,,
Ecstasy,59443.5,D,,,,,,,,,
Ecstasy,67452,B,,,,,,,,,
Ecstasy,206375.1,B,,,,,,,,,
Ecstasy,6733.31,A,,,,,,,,,
Ecstasy,36838.31,A,,,,,,,,,
Ecstasy,84696.57,D,,,,,,,,,
Ecstasy,22075.65,C,,,,,,,,,
Ecstasy,27277.28,C,,,,,,,,,
Ecstasy,36966.61,D,,,,,,,,,
Ecstasy,22024.26,C,,,,,,,,,
Ecstasy,267737.75,C,,,,,,,,,
Ecstasy,22079.24,A,,,,,,,,,
Ecstasy,22107.77,D,,,,,,,,,
